№,ФИО,email,группа
1,Иванов Иван Иванович,ivanov@university.com,ГР-101
2,Петрова Анна Сергеевна,petrova@university.com,ГР-102
3,Сидоров Алексей Владимирович,sidorov@university.com,ГР-101
4,Кузнецова Екатерина Дмитриевна,kuznetsova@university.com,ГР-103
5,Смирнов Денис Олегович,smirnov@university.com,ГР-102
6,Васильева Ольга Игоревна,vasilieva@university.com,ГР-104
7,Николаев Артем Сергеевич,nikolaev@university.com,ГР-103
8,Павлова Виктория Александровна,pavlova@university.com,ГР-101
9,Федоров Максим Ильич,fedorov@university.com,ГР-104
10,Жукова Анастасия Павловна,zhukova@university.com,ГР-102
11,Ирохин,пколд,ГР-103
12,Пращин Игорь Александрович,аитшк,ГР-102
